2020-08-12 19:39:33.949 febs [main] INFO  cc.mrbird.febs.FebsApplication - Starting FebsApplication on bogon with PID 11270 (/Users/sun/Documents/java/code/FEBS-Vue-Fix/backend/target/classes started by sun in /Users/sun/Documents/java/code/FEBS-Vue-Fix)
2020-08-12 19:40:39.875 febs [main] INFO  o.s.s.quartz.LocalDataSourceJobStore - JobStoreCMT initialized.
2020-08-12 19:40:39.877 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.1) 'MyScheduler' with instanceId 'bogon1597232439720'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2020-08-12 19:40:39.877 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'MyScheduler' initialized from an externally provided properties instance.
2020-08-12 19:40:39.877 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.1
2020-08-12 19:40:39.881 febs [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@61ce238e
2020-08-12 19:40:40.021 febs [main] INFO  p6spy - 2020-08-12 19:40:40 | 耗时 19 ms | SQL 语句：
select job_id jobId, bean_name beanName, method_name methodName, params, cron_expression cronExpression, status, remark, create_time createTime from t_job order by job_id;
2020-08-12 19:40:50.089 febs [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-08-12 19:40:50.338 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2020-08-12 19:40:50.383 febs [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2020-08-12 19:40:52.797 febs [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-08-12 19:40:53.018 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-08-12 19:40:53.092 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-08-12 19:40:53.246 febs [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-08-12 19:40:53.649 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_1
2020-08-12 19:40:53.680 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_2
2020-08-12 19:40:53.682 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: updateDictUsingPUT_1
2020-08-12 19:40:53.698 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_3
2020-08-12 19:40:53.720 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_4
2020-08-12 19:40:53.729 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_5
2020-08-12 19:40:53.748 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_6
2020-08-12 19:40:53.791 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_7
2020-08-12 19:40:53.800 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_8
2020-08-12 19:40:53.803 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: generateImportTemplateUsingPOST_1
2020-08-12 19:40:53.806 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: importExcelsUsingPOST_1
2020-08-12 19:40:53.831 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_9
2020-08-12 19:40:53.880 febs [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Will start Quartz Scheduler [MyScheduler] in 1 seconds
2020-08-12 19:40:53.909 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9527"]
2020-08-12 19:40:53.973 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9527 (http) with context path ''
2020-08-12 19:40:53.978 febs [main] INFO  cc.mrbird.febs.FebsApplication - Started FebsApplication in 26.217 seconds (JVM running for 27.53)
2020-08-12 19:40:53.999 febs [main] INFO  c.m.f.common.runner.CacheInitRunner - Redis连接中 ······
2020-08-12 19:40:54.883 febs [Quartz Scheduler [MyScheduler]] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now, after delay of 1 seconds
2020-08-12 19:40:57.009 febs [Quartz Scheduler [MyScheduler]] INFO  p6spy - 
2020-08-12 19:40:57.029 febs [Quartz Scheduler [MyScheduler]] INFO  org.quartz.core.QuartzScheduler - Scheduler MyScheduler_$_bogon1597232439720 started.
2020-08-12 19:40:57.088 febs [QuartzScheduler_MyScheduler-bogon1597232439720_MisfireHandler] INFO  p6spy - 
2020-08-12 19:40:57.129 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-08-12 19:40:57.201 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-08-12 19:41:12.201 febs [QuartzScheduler_MyScheduler-bogon1597232439720_MisfireHandler] INFO  p6spy - 
2020-08-12 19:41:12.288 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-08-12 19:41:14.145 febs [QuartzScheduler_MyScheduler-bogon1597232439720_ClusterManager] INFO  p6spy - 
2020-08-12 19:41:27.315 febs [QuartzScheduler_MyScheduler-bogon1597232439720_MisfireHandler] INFO  p6spy - 
2020-08-12 19:41:27.399 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-08-12 19:41:31.304 febs [QuartzScheduler_MyScheduler-bogon1597232439720_ClusterManager] INFO  p6spy - 
2020-08-12 19:41:42.411 febs [QuartzScheduler_MyScheduler-bogon1597232439720_MisfireHandler] INFO  p6spy - 
2020-08-12 19:41:42.514 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-08-12 19:41:48.456 febs [QuartzScheduler_MyScheduler-bogon1597232439720_ClusterManager] INFO  p6spy - 
2020-08-12 19:41:57.498 febs [QuartzScheduler_MyScheduler-bogon1597232439720_MisfireHandler] INFO  p6spy - 
2020-08-12 19:41:57.623 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-08-12 19:42:05.613 febs [QuartzScheduler_MyScheduler-bogon1597232439720_ClusterManager] INFO  p6spy - 
2020-08-12 19:42:09.604 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler MyScheduler_$_bogon1597232439720 paused.
2020-08-12 19:42:09.604 febs [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-08-12 19:42:09.615 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'taskExecutor'
2020-08-12 19:42:09.617 febs [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
2020-08-12 19:42:09.617 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler MyScheduler_$_bogon1597232439720 shutting down.
2020-08-12 19:42:09.618 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler MyScheduler_$_bogon1597232439720 paused.
2020-08-12 19:42:09.619 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler MyScheduler_$_bogon1597232439720 shutdown complete.
2020-08-12 19:42:09.623 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2020-08-12 19:42:09.624 febs [main] INFO  com.zaxxer.hikari.HikariDataSource - primary - Shutdown initiated...
2020-08-12 19:42:09.630 febs [main] INFO  com.zaxxer.hikari.HikariDataSource - primary - Shutdown completed.
2020-08-12 19:42:09.630 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
